doc_id,lemma,supersense,matched_verb,verb_type,sentence
adams1974,root,noun.plant,say,agency,"“ Good roots they keep there , ” said Hazel , as they passed them and reached the hedge ."
adams1974,rabbit,noun.animal,join,agency,"The rabbit , a powerful , heavy veteran by the name of Thunder , joined them , stumbling ."
adams1974,rabbit,noun.animal,say,agency,“ A dead rabbit ? ” said Woundwort .
adams1974,fox,noun.animal,say,agency,""" Ah ha , ' said the fox , ‘ tell my fortune , eh ?"
adams1974,rabbit,noun.animal,say,agency,"Fat rabbits running through the grass , yes , yes ? ” “ Very well . "" said Woundwort ."
adams1974,rabbit,noun.animal,say,agency,"Then , very quietly and with no trace of fear , the strange rabbit said , "" I am sorry for you with all my heart ."
adams1974,rabbit,noun.animal,mean,agency,"' E always says one rabbit means ' undred an ' one . "" "" Well , I 'll tell you what , ” said Doctor Adams , taking his thin fob watch on the fingers of one hand and looking down at it as he held it at arm 's length — for he was long - sighted—“I've got to go a few miles up the road to see an old lady at Cole Henley ."
adams1974,rabbit,noun.animal,suffer,experience,"Rabbits , like most wild animals , suffer hardship ."
adams1974,rabbit,noun.animal,do,agency,“ You did everything for him that rabbits could do and a great deal more .
adams1974,rabbit,noun.animal,say,agency,"Well , do I ? ” “ Please , sir , I 've never seen a cat , ” said the young rabbit ."
adams1974,worm,noun.animal,say,agency,"D’you remember how he cursed at us and tried to peck us ? ” "" And the worms we carried ? ” said Bluebell ."
adams1974,rabbit,noun.animal,tell,experience,"And mother rabbits would tell their kittens that if they did not do as they were told , the General would get them — the General who was first cousin to the Black Rabbit himself ."
adams1974,rabbit,noun.animal,tell,experience,"And mother rabbits would tell their kittens that if they did not do as they were told , the General would get them — the General who was first cousin to the Black Rabbit himself ."
ngugi1967,dog,noun.animal,develop,agency,Between the houseboy and the dog had developed a friendship which was very touching to see .
ngugi1967,dog-,noun.animal,worry,agency,"' About that dog- ' ' Sir ? ' ' Do n't worry about it , eh ?"
tolkien1955,beast,noun.animal,know,agency,"If any Hobbit stooped for a stone , it was well to get quickly under cover , as all trespassing beasts knew very well ."
tolkien1955,root,noun.plant,do,agency,These tree- roots would do them good . '
tolkien1955,beast,noun.animal,know,agency,I have never got over the fright — though I daresay the beasts knew their business and would not really have touched me . '
tolkien1955,animal,noun.animal,ask,agency,"' Where does that other old animal , that Fatty Lumpkin , come from ? ' asked Frodo ."
